#,Name,Sell,Where/How,Shadow,Total Catches to Unlock,Spawn Rates,Rain/Snow Catch Up,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Size,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
29,golden trout,15000,River (clifftop),Medium,100,1,No,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,Brown,Black,1x1,Fluorescent,Fish79,FishGoldenTorauto,FtrFishGoldenTorauto,4193,wwGzR7FzWNJ7cDz9X
56,anchovy,200,Sea,Small,0,2–5,No,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,Blue,Red,1x1,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201,LzuWkSQP55uEpRCP5
4,dace,240,River,Medium,0,3–10,No,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish3,FishUgui,FtrFishUgui,2217,dWmXFdnjByWT5nEok
7,goldfish,1300,Pond,X-Small,0,1–4,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Red,Light blue,1x1,No lighting,Fish7,FishKingyo,FtrFishKingyo,329,5NwmwhEQxBNZCPiBR
80,coelacanth,15000,Sea (rainy days),XX-Large,100,1–2,Yes,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,Black,2x1,Fluorescent,Fish63,FishSirakansu,FtrFishSirakansu,2284,NjMZQ6Xi9NswEXnHH
19,giant snakehead,5500,Pond,Large,50,2,No,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,Black,Black,2x1,Fluorescent,Fish16,FishRaigyo,FtrFishRaigyo,2231,KyWQRd8W2FePM42wB
67,blue marlin,10000,Pier,XX-Large,50,1–2,Yes,All day,All day,All day,All day,NA,NA,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,All day,NA,NA,Blue,Black,2x1,Fluorescent,Fish58,FishKajiki,FtrFishKajiki,2275,jhtsYRHydAcZnd6bJ
46,sturgeon,10000,River (mouth),XX-Large,20,1–4,Yes,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,Black,Black,2x1,Fluorescent,Fish75,FishTyouzame,FtrFishTyouzame,4189,XabKYtzYDNSNrFvpw
58,barred knifejaw,5000,Sea,Medium,20,3–5,No,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,White,Black,1x1,Fluorescent,Fish47,FishIshidai,FtrFishIshidai,2265,X3R9SFSAaDzBF4fE3
51,butterfly fish,1000,Sea,Small,0,4–5,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,Yellow,Black,1x1,Fluorescent,Fish42,FishChouchouuo,FtrFishChouchouuo,2259,S4rkio2M3WB5cyy8Y
