Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
rocking horse,Natural,Paint color,NA,NA,Yes,Yes,No,1,NFS,600,Yellow,Yellow,1x1,NA,Crafting,,1.0.0,child's room,fancy,None,None,Yes,Toy,No,Does not play music,No lighting,Not for sale,FtrRockinghorse_Remake_0_0,0_0,83,5yG5dJeztH649hDEF
hammock,Light brown,NA,Camouflage,Cloth,No,No,Yes,1,1300,325,Beige,Green,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrHammock_Remake_1_1,1_1,1620,hqgeXHvPCbLaynMCY
loft bed with desk,Blue,NA,Green stripes,Bedding,No,No,Yes,3,7700,1925,Blue,Colorful,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,FtrBeddesk_Remake_4_6,4_6,3621,m4wm6B5MmAdf2vEQo
camping cot,Yellow,NA,NA,NA,No,No,No,NA,1800,450,Yellow,Yellow,2x1,NA,Starting items,,1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrCampbed_Remake_1_0,1_0,4081,EfgFd67XeHoa6Z6JZ
cute floor lamp,Yellow,NA,NA,NA,No,No,No,NA,3500,875,Yellow,Purple,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Lamp,No,Does not play music,Fluorescent,For sale,FtrCuteLamp_Remake_2_0,2_0,4002,Too8dDarzLpdR47GE
crescent-moon chair,Purple,Color,NA,NA,Yes,Yes,No,7,NFS,8500,Purple,Yellow,2x1,NA,Crafting,,1.0.0,space,fancy,stars,None,Yes,Chair,No,Does not play music,Fluorescent,Not for sale,FtrStarMoonChairL_Remake_3_0,3_0,6829,D8YEuyBhvk3YNRWQc
campfire cookware,NA,NA,NA,NA,No,No,No,NA,900,225,Brown,Black,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Kitchen Things,Yes,Does not play music,Candle,For sale,FtrMesstin,NA,1433,hk3E2ppSro5Y8hWXy
barbecue,Black,NA,NA,NA,No,No,No,NA,2500,625,Black,Colorful,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Outdoors Decor,Yes,Does not play music,No lighting,For sale,FtrBarbecuegrill_Remake_4_0,4_0,330,ArGHiDEjLyA7p8f66
plain sink,Dark wood,Design,NA,NA,Yes,Yes,No,4,NFS,2270,Brown,Green,1x1,NA,Crafting,,1.0.0,bathroom,None,None,None,Yes,Bathroom Things,No,Does not play music,No lighting,Not for sale,FtrWashstandBowl_Remake_2_0,2_0,3683,fwZN7sLcZCWtLm5Bh
cute wardrobe,Blue,NA,NA,NA,No,No,No,NA,7300,1825,Blue,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrCuteClosetLR_Remake_4_0,4_0,3997,bpg2z9qk9GQSgRrtm
whiteboard,Brainstorming meeting,NA,NA,NA,No,No,No,NA,2600,650,White,Gray,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,office,None,None,None,No,Office,No,Does not play music,No lighting,For sale,FtrWhiteboard_Remake_5_0,5_0,4116,aTd8oKdE38jnwzBNm
hose reel,Silver,NA,NA,NA,No,No,No,NA,1400,350,Gray,Light blue,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garden,None,None,None,No,Garden,Yes,Does not play music,No lighting,For sale,FtrHosereel_Remake_0_0,0_0,4113,N4hjHX9MesAnWmjtm
wooden mini table,Cherry wood,Paint color,Green,Tablecloth,Yes,Yes,Yes,2,NFS,720,Orange,Green,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableMini_Remake_2_4,2_4,7133,LdJ3LAWjEJ3fLaqpJ
effects rack,Blue,NA,Handwritten logo,Sticker area,No,No,Yes,3,6800,1700,Blue,Light blue,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,concert,facility,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrEffectorrack_Remake_3_5,3_5,950,LpCGc6CkxJjQjtqey
loft bed with desk,Brown,NA,Black,Bedding,No,No,Yes,3,7700,1925,Red,Black,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,FtrBeddesk_Remake_1_1,1_1,3621,xapoyEk8gqkc64n4p
construction sign,Ongoing work,NA,NA,NA,No,No,No,NA,NFS,5000,White,Blue,1x1,1000,Nook Miles Shop,,1.0.0,garage,facility,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignConstruction_Remake_0_0,0_0,9568,aFi7Nk8YGWeoizzqu
wooden-block table,Vivid,Block color,NA,NA,Yes,Yes,No,2,NFS,1320,Red,Colorful,2x2,NA,Crafting,,1.0.0,child's room,None,wooden block,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrBlockTableL_Remake_4_0,4_0,1565,8hYurfXnfEfDQ5sWh
wedding arch,Chic,Design,NA,NA,No,Yes,No,7,20000,5000,White,Brown,3x1,NA,Wedding Season,,1.2.0,party,expensive,wedding,None,No,Arch,No,Does not play music,No lighting,Not for sale,FtrWeddingArch_Remake_1_0,1_0,12402,iYQeGKgR67gmisv7R
