Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
frozen table,1,large snowflake,8,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3203,146,ERiC3P6oPfo8EgJcb
honeycomb wall,6,wasp nest,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Wallpaper,2050,296,XJZCow9k2yrtvYDSc
sleigh,8,wood,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,442,580,vQCpvpCFNYENPhuKK
snazzy pansy wreath,3,orange pansies,3,blue pansies,3,yellow pansies,,,,,,,NFS,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3558,451,vyxRpZbkGm3iZo9FG
frozen bed,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3204,149,zBcsrLsdydLH3xHNE
Leo sculpture,3,star fragment,2,Leo fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Wall-mounted,2304,407,5QHREHAwKLPzLmmDi
cherry-blossom flooring,10,cherry-blossom petal,20,clump of weeds,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Floors,2660,479,Bthw6qsrWMxRp4L2J
key holder,3,wood,1,iron nugget,,,,,,,,,NFS,200,NA,Big Sister villagers,,50,1.0.0,Wall-mounted,480,437,cXTKSu7vAHz2c3tmD
peach wall,20,peach,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Wallpaper,1550,306,EtpBMH46crTvLrLrn
wooden double bed,30,wood,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Housewares,319,493,z3TPTghmTbEFZE2mw
mum crown,2,red mums,2,yellow mums,2,white mums,,,,,,,NFS,200,NA,All Villagers,,0,1.0.0,Headwear,3603,258,dm3bTGBfDYLSzWDHR
frozen arch,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3206,140,FqCNQ69DMLvgxruE9
angled signpost,2,hardwood,3,softwood,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Housewares,440,510,BNiDaivRjGNzCckWw
Bunny Day lamp,4,wood egg,,,,,,,,,,,NFS,200,NA,Egg bottle; Egg balloon,Only available during Bunny Day,0,1.1.0a,Miscellaneous,3705,697,aJAmvizpFhDespKHb
wild-wood wall,15,wood,,,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Wallpaper,523,309,RQL2msCcNbX2Nyvqg
bamboo shelf,15,bamboo piece,,,,,,,,,,,NFS,200,NA,Snooty villagers,,50,1.0.0,Housewares,2405,155,ATFSAKswogCggcGbd
juicy-apple TV,10,apple,2,iron nugget,,,,,,,,,NFS,200,NA,Big Sister villagers,,100,1.0.0,Housewares,1701,6,gjc7Wju56JYDhkwvJ
natural garden chair,6,hardwood,2,iron nugget,,,,,,,,,NFS,200,NA,Tom Nook; Peppy villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,373,80,jaDD9msGTLXHRu2cB
kettle bathtub,8,iron nugget,2,wood,1,campfire,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,916,490,WJQG9QKBGGGyAiGxk
scarecrow,3,tree branch,5,clump of weeds,,,,,,,,,NFS,200,NA,Cranky villagers,,0,1.0.0,Housewares,204,655,MWhpvNPWowwPKTPb3
coconut juice,1,coconut,,,,,,,,,,,NFS,200,NA,Snooty villagers,,0,1.0.0,Miscellaneous,1800,163,43ztxc7D5XHDmAMXA
ladder,4,wood,4,hardwood,4,softwood,,,,,,,NFS,200,NA,Tom Nook; Nook's Cranny,Obtained during the main storyline during the villager house development quest,0,1.0.0,Tools,122,107,QHAFqRRLE65RSvmQh
