Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
  FROZEN TABLE  ,1,large snowflake,8,snowflake,,,,,,,,,,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3203,146,ERiC3P6oPfo8EgJcb
  honeycomb wall  ,6,wasp nest,,,,,,,,,,,NFS,200,NA,Jock villagers,,0,1.0.0,Wallpaper,2050,296,XJZCow9k2yrtvYDSc
sleigh,8,wood,,,,,,,,,,,,200,NA,Cranky villagers,,0,1.0.0,Housewares,442,580,vQCpvpCFNYENPhuKK
  snazzy pansy wreath  ,3,orange pansies,3,blue pansies,3,yellow pansies,,,,,,,,200,NA,All Villagers,,100,1.0.0,Wall-mounted,3558,451,vyxRpZbkGm3iZo9FG
frozen bed,1,large snowflake,10,snowflake,,,,,,,,,NFS,200,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3204,149,zBcsrLsdydLH3xHNE
leo sculpture,3,star fragment,2,Leo fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,Celeste,,0,1.0.0,Wall-mounted,2304,407,5QHREHAwKLPzLmmDi
CHERRY-BLOSSOM FLOORING,10,cherry-blossom petal,20,clump of weeds,,,,,,,,,NFS,200,NA,Balloons,Only available during Cherry-Blossom Season,0,1.0.0,Floors,2660,479,Bthw6qsrWMxRp4L2J
key holder,3,wood,1,iron nugget,,,,,,,,,NFS,200,NA,Big Sister villagers,,50,1.0.0,Wall-mounted,480,437,cXTKSu7vAHz2c3tmD
  peach wall  ,20,peach,,,,,,,,,,,NFS,200,NA,Normal villagers,,100,1.0.0,Wallpaper,1550,306,EtpBMH46crTvLrLrn
wooden double bed,30,wood,,,,,,,,,,,NFS,200,NA,Smug villagers,,0,1.0.0,Housewares,319,493,z3TPTghmTbEFZE2mw
