Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
LIGHTHOUSE,Black,NA,NA,NA,No,No,No,NA,NFS,25000,White,Black,2x2,5000,Nook Miles Shop,,1.0.0,ocean,garden,None,None,Yes,Seaside,Yes,Does not play music,No lighting,Not for sale,FtrLighthouse_Remake_1_0,1_0,2335,EMc5ZBYFQd8tYfBhL
    SERVING CART    ,Black,NA,NA,NA,No,No,No,NA,1300,325,Black,Yellow,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,kitchen,shop,None,None,No,Kitchen Things,No,Does not play music,No lighting,For sale,FtrServingcart_Remake_5_0,5_0,1606,zqrFXqZ3FCKquoe8X
    THROWBACK MITT CHAIR    ,Green,NA,NA,NA,No,No,No,NA,1400,,Green,Red,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,fitness,throwback,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBoyChairS_Remake_4_0,4_0,4758,pFvM2mhWRMHo4bJX3
  wooden-block chair  ,Colorful,Block color,NA,NA,Yes,Yes,No,1,NFS,720,Red,Colorful,1x1,NA,Crafting,,1.0.0,child's room,None,wooden block,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrBlockChairS_Remake_2_0,2_0,2558,wpz37qaP5phjr4Mqr
  mush low stool  ,Yellow mushroom,Mushroom type,NA,NA,Yes,Yes,No,2,NFS,800,Yellow,Beige,1x1,NA,Crafting,,1.0.0,garden,None,mush,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrMushroomChairS_Remake_4_0,4_0,4708,SBkPJws98vAws76R6
    loft bed with desk    ,Black,NA,Pink,Bedding,No,No,Yes,3,,1925,Black,Pink,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,FtrBeddesk_Remake_3_5,3_5,3621,RmesQWj4EKt7rDG62
IMPERIAL CHEST,Blue,NA,NA,NA,No,No,No,NA,9300,,Blue,Gray,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,zen-style,None,zen,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrOrientalChest_Remake_1_0,1_0,3972,NNhkKWrdaadKjxNG6
  whiteboard  ,Language classroom,NA,NA,NA,No,No,No,NA,2600,650,White,Gray,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,office,None,None,None,No,Office,No,Does not play music,No lighting,For sale,FtrWhiteboard_Remake_3_0,3_0,4116,6kQ2dnracvr8cXca9
    INFLATABLE SOFA    ,Camouflage,NA,NA,NA,No,No,No,NA,1100,,Beige,Green,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrAirsofa_Remake_7_0,7_0,3962,v745nKx3Yr5SKq4A3
digital scale,Blue,NA,Polka dots,Design,No,No,Yes,1,930,232,Blue,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWeightscale_Remake_3_2,3_2,3307,469XQtDweTA3DmEeZ
  DRINK MACHINE  ,Black,NA,Sports drink,Advertisement panel,No,No,Yes,7,NFS,10000,Brown,Light blue,1x1,2000,Nook Miles Shop,,1.0.0,shop,facility,None,None,Yes,Facility Decor,Yes,Does not play music,Monitor,Not for sale,FtrDrinkmachine_Remake_3_1,3_1,1802,yvNp9WZdDzNapncNW
frozen tree,Ice yellow,Illumination,NA,NA,Yes,Yes,No,7,NFS,8200,Yellow,Yellow,2x2,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrIceTree_Remake_3_0,3_0,3504,yejpZBcHL6syRmZYE
clothesline,NA,NA,Well-used,Drying shirt,Yes,No,Yes,2,,100,Brown,Beige,2x0.5,NA,Crafting,,1.0.0,garden,None,None,None,No,Supplies,Yes,Does not play music,No lighting,Not for sale,FtrClothesline_Remake_0_1,0_1,3229,FxWT49hFwfwCs89FZ
FROZEN PILLAR,Ice blue,Illumination,NA,NA,Yes,Yes,No,7,NFS,6200,Blue,Blue,1x1,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrIcePillar_Remake_1_0,1_0,3500,HLjXDPitXq9yE4FK6
DJ'S TURNTABLE,Black,NA,Chic logo,Flag,No,No,Yes,4,9300,2325,Black,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,party,concert,None,None,Yes,Musical Instrument,No,Hi-fi,No lighting,For sale,FtrDJbooth_Remake_0_2,0_2,941,khP7TPfWJFziysppy
  pet bed  ,White,NA,White,Cushion,No,No,Yes,1,1100,275,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,pet,Yes,Chair,No,Does not play music,No lighting,For sale,FtrPetBed_Remake_2_0,2_0,7802,BrwJuRBxXDHrGw8v6
lawn chair,Blue,NA,NA,NA,No,No,No,NA,760,190,Light blue,White,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Chair,Yes,Does not play music,No lighting,For sale,FtrVinylchair_Remake_0_0,0_0,1621,cKBDhd9jR55jp3Dv9
