Name,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Miles Price,Source,Source Notes,Recipes to Unlock,Version,Category,Serial ID,Internal ID,Unique Entry ID
  star head  ,5,star fragment,,,,,,,,,,,NFS,,NA,Celeste,,0,1.0.0,Headwear,2280,628,ruy96poyPqtxc5K4Y
  frozen partition  ,1,large snowflake,6,snowflake,,,,,,,,,,,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Housewares,3205,147,8MAAQxYSHaQBQ6A2t
    PANSY WREATH    ,3,yellow pansies,3,white pansies,3,red pansies,,,,,,,,200,NA,All Villagers,,50,1.0.0,Wall-mounted,3557,230,qPZnLEKoAZbQxXQiG
knight's helmet,5,iron nugget,,,,,,,,,,,NFS,200,NA,Cranky villagers,,100,1.0.0,Headwear,980,641,3u8tk4SyAemkHTRzz
    WOODEN BOOKSHELF    ,5,book,10,wood,,,,,,,,,NFS,200,NA,Lazy villagers,,100,1.0.0,Housewares,2102,404,XE27aTmxufH84fcWf
  iron garden table  ,5,iron nugget,,,,,,,,,,,NFS,200,NA,Tom Nook; Big sister villagers,Obtained during the main storyline during the villager house development quest,0,1.0.0,Housewares,901,65,LfmT6j46no2RNRXDi
  ice wand  ,1,large snowflake,3,star fragment,,,,,,,,,NFS,,NA,Snowboy,Reward for making a perfect Snowboy; Only available during Winter,0,1.0.0,Tools,3290,533,pfuLcy3eLoxPsFMQy
  SHELL BED  ,5,giant clam,3,clay,4,stone,,,,,,,NFS,,NA,Peppy villagers,,0,1.0.0,Housewares,2703,181,PQaCd4ohLujJeKoLQ
OIL-BARREL BATHTUB,1,oil barrel,1,campfire,2,stone,,,,,,,,200,NA,Jock villagers,,100,1.0.0,Housewares,2150,394,kvTajEX5oeZ2DDyjt
  wedding fence  ,5,iron nugget,3,softwood,,,,,,,,,NFS,200,NA,Harvey,Only available during Wedding Season,0,1.2.0,Fencing,992,714,yZNfKe6dESLFFQ8J4
  shovel  ,1,flimsy shovel,1,iron nugget,,,,,,,,,NFS,,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,0,1.0.0,Tools,104,281,M3RrgtikixGSNWq24
  CLACKERCART  ,2,hardwood,6,softwood,,,,,,,,,,200,NA,Lazy villagers,,0,1.0.0,Housewares,402,164,EqWJqEqcpki2TCTXS
